0.00.157.629 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.157.738 I srv          init: The UI is disabled
0.00.157.739 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.157.837 W srv  llama_server: -----------------
0.00.157.840 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.157.842 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.157.842 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.157.843 W srv  llama_server: -----------------
0.00.160.749 I srv    load_model: loading model 'C:\Users\PC\.lmstudio\models\ggml-org\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf'
0.01.360.847 W load: setting token '<|constrain|>' (200003) attribute to USER_DEFINED (16), old attributes: 8
0.01.361.025 W load: setting token '<|message|>' (200008) attribute to USER_DEFINED (16), old attributes: 8
0.01.365.785 W load: setting token '<|channel|>' (200005) attribute to USER_DEFINED (16), old attributes: 8
0.01.365.788 W load: setting token '<|start|>' (200006) attribute to USER_DEFINED (16), old attributes: 8
0.01.365.800 W load: special_eog_ids contains both '<|return|>' and '<|call|>', or '<|calls|>' and '<|flush|>' tokens, removing '<|end|>' token from EOG list
0.10.778.589 I cmn          init: llama threadpool init, n_threads = 6
0.10.989.052 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.10.997.298 I srv  llama_server: model loaded
0.10.997.302 I srv  llama_server: listening on http://127.0.0.1:8110
0.13.139.671 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.13.139.866 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.17.880.244 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4187, progress = 0.04, t =   4.74 s / 883.27 tokens per second
0.20.319.106 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6235, progress = 0.06, t =   7.18 s / 868.48 tokens per second
0.22.847.533 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8283, progress = 0.08, t =   9.71 s / 853.25 tokens per second
0.25.482.796 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10331, progress = 0.10, t =  12.34 s / 837.00 tokens per second
0.28.259.459 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12379, progress = 0.12, t =  15.12 s / 818.74 tokens per second
0.31.245.758 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14427, progress = 0.14, t =  18.11 s / 796.82 tokens per second
0.34.437.268 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16475, progress = 0.16, t =  21.30 s / 773.57 tokens per second
0.37.694.393 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18523, progress = 0.18, t =  24.55 s / 754.37 tokens per second
0.41.154.900 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20571, progress = 0.20, t =  28.01 s / 734.29 tokens per second
0.44.815.019 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22619, progress = 0.22, t =  31.67 s / 714.10 tokens per second
0.48.590.459 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24667, progress = 0.24, t =  35.45 s / 695.82 tokens per second
0.52.447.503 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26715, progress = 0.26, t =  39.31 s / 679.64 tokens per second
0.56.412.121 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28763, progress = 0.27, t =  43.27 s / 664.70 tokens per second
1.00.453.670 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30811, progress = 0.29, t =  47.31 s / 651.21 tokens per second
1.04.669.082 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32859, progress = 0.31, t =  51.53 s / 637.68 tokens per second
1.09.183.620 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34907, progress = 0.33, t =  56.04 s / 622.86 tokens per second
1.13.796.660 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36955, progress = 0.35, t =  60.66 s / 609.25 tokens per second
1.18.516.422 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39003, progress = 0.37, t =  65.38 s / 596.59 tokens per second
1.23.315.652 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41051, progress = 0.39, t =  70.18 s / 584.98 tokens per second
1.28.126.060 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43099, progress = 0.41, t =  74.99 s / 574.76 tokens per second
1.33.061.387 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45147, progress = 0.43, t =  79.92 s / 564.89 tokens per second
1.38.080.579 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47195, progress = 0.45, t =  84.94 s / 555.63 tokens per second
1.43.215.031 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49243, progress = 0.47, t =  90.07 s / 546.69 tokens per second
1.48.445.068 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51291, progress = 0.49, t =  95.30 s / 538.18 tokens per second
1.53.783.384 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53339, progress = 0.51, t = 100.64 s / 529.98 tokens per second
1.59.209.423 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55387, progress = 0.53, t = 106.07 s / 522.18 tokens per second
2.04.748.795 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57435, progress = 0.55, t = 111.61 s / 514.61 tokens per second
2.10.390.633 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59483, progress = 0.57, t = 117.25 s / 507.32 tokens per second
